sintoma,especialista
leve debilidad en la piel,dermatologo
leve mareo en la espalda,neurologo
intermitente fatiga en los brazos,medico_general
moderado ardor en la cabeza,neurologo
intermitente náuseas en el pecho,cardiologo
repentino debilidad en el oído,medico_general
repentino náuseas en el cuello,medico_general
repentino presión en la rodilla,cardiologo
fuerte rigidez en la garganta,medico_general
moderado picazón en el estómago,dermatologo
leve ardor en las piernas,medico_general
fuerte fatiga en la garganta,medico_general
intermitente inflamación en el cuello,medico_general
repentino rigidez en la piel,dermatologo
fuerte presión en la rodilla,cardiologo
repentino náuseas en la piel,dermatologo
leve náuseas en la cabeza,neurologo
moderado debilidad en los ojos,medico_general
moderado sensibilidad en la piel,dermatologo
moderado inflamación en la garganta,medico_general
moderado presión en la espalda,cardiologo
moderado presión en las piernas,cardiologo
fuerte presión en la piel,dermatologo
fuerte náuseas en el estómago,gastroenterologo
intermitente debilidad en la garganta,medico_general
moderado rigidez en los ojos,medico_general
crónico debilidad en la piel,dermatologo
crónico náuseas en los ojos,medico_general
fuerte náuseas en el oído,medico_general
repentino presión en la cabeza,cardiologo
intermitente mareo en la cabeza,neurologo
crónico debilidad en el estómago,gastroenterologo
crónico presión en la garganta,cardiologo
repentino dolor en la espalda,traumatologo
leve fiebre en el cuello,medico_general
crónico rigidez en el pecho,cardiologo
fuerte inflamación en el estómago,gastroenterologo
crónico dolor en el pecho,cardiologo
fuerte rigidez en el pecho,cardiologo
agudo ardor en la piel,dermatologo
crónico dolor en la espalda,traumatologo
agudo rigidez en los ojos,medico_general
repentino mareo en los ojos,neurologo
fuerte náuseas en los ojos,medico_general
repentino dolor en los brazos,medico_general
crónico ardor en el pecho,cardiologo
crónico picazón en el cuello,dermatologo
repentino rigidez en la espalda,traumatologo
intermitente mareo en el cuello,neurologo
crónico sensibilidad en las piernas,medico_general
moderado sensibilidad en la garganta,medico_general
agudo dolor en los brazos,medico_general
crónico náuseas en la rodilla,medico_general
fuerte presión en la espalda,cardiologo
leve fiebre en el oído,medico_general
agudo sensibilidad en la cabeza,neurologo
repentino ardor en el oído,medico_general
intermitente mareo en los brazos,neurologo
repentino náuseas en el oído,medico_general
moderado inflamación en los ojos,medico_general
repentino mareo en los brazos,neurologo
leve fatiga en la rodilla,medico_general
crónico dolor en los brazos,medico_general
fuerte fatiga en el estómago,gastroenterologo
repentino picazón en la cabeza,dermatologo
crónico presión en la piel,dermatologo
repentino mareo en la rodilla,neurologo
fuerte dolor en el estómago,gastroenterologo
fuerte rigidez en el estómago,gastroenterologo
agudo fatiga en la garganta,medico_general
leve picazón en el oído,dermatologo
repentino mareo en el cuello,neurologo
agudo náuseas en los brazos,medico_general
fuerte inflamación en el cuello,medico_general
leve presión en la garganta,cardiologo
leve inflamación en la garganta,medico_general
repentino fatiga en la piel,dermatologo
fuerte náuseas en la garganta,medico_general
crónico mareo en la rodilla,neurologo
repentino dolor en la piel,dermatologo
leve ardor en las piernas,medico_general
agudo rigidez en los ojos,medico_general
repentino debilidad en el pecho,cardiologo
leve fiebre en el oído,medico_general
crónico picazón en la espalda,dermatologo
fuerte fiebre en la piel,dermatologo
intermitente mareo en la rodilla,neurologo
agudo fiebre en el oído,medico_general
moderado ardor en los ojos,medico_general
crónico rigidez en los brazos,medico_general
agudo dolor en la piel,dermatologo
moderado picazón en los brazos,dermatologo
intermitente presión en el cuello,cardiologo
intermitente picazón en el oído,dermatologo
leve inflamación en el oído,medico_general
fuerte rigidez en el oído,medico_general
crónico rigidez en la garganta,medico_general
leve inflamación en el estómago,gastroenterologo
moderado inflamación en el estómago,gastroenterologo
leve ardor en el pecho,cardiologo
leve rigidez en la cabeza,neurologo
agudo mareo en la cabeza,neurologo
intermitente náuseas en la espalda,traumatologo
crónico debilidad en el pecho,cardiologo
leve inflamación en las piernas,medico_general
repentino náuseas en la espalda,traumatologo
crónico ardor en el cuello,medico_general
crónico picazón en el cuello,dermatologo
intermitente picazón en el estómago,dermatologo
repentino rigidez en la garganta,medico_general
agudo mareo en el oído,neurologo
crónico fiebre en los brazos,medico_general
moderado náuseas en la piel,dermatologo
leve presión en el oído,cardiologo
intermitente fiebre en la piel,dermatologo
crónico presión en los brazos,cardiologo
crónico ardor en la rodilla,medico_general
leve picazón en el estómago,dermatologo
moderado debilidad en el oído,medico_general
agudo náuseas en el pecho,cardiologo
crónico fiebre en las piernas,medico_general
intermitente ardor en la piel,dermatologo
crónico presión en la rodilla,cardiologo
moderado ardor en la cabeza,neurologo
fuerte fiebre en el oído,medico_general
agudo mareo en la cabeza,neurologo
leve picazón en la cabeza,dermatologo
crónico rigidez en el cuello,medico_general
intermitente mareo en el estómago,neurologo
leve ardor en la rodilla,medico_general
moderado fiebre en el oído,medico_general
fuerte fatiga en los ojos,medico_general
leve rigidez en la rodilla,medico_general
intermitente picazón en la rodilla,dermatologo
fuerte picazón en la garganta,dermatologo
agudo presión en el cuello,cardiologo
leve fiebre en las piernas,medico_general
agudo debilidad en la rodilla,medico_general
leve presión en la piel,dermatologo
agudo debilidad en la cabeza,neurologo
moderado rigidez en el estómago,gastroenterologo
moderado rigidez en el cuello,medico_general
agudo mareo en la piel,dermatologo
intermitente rigidez en los ojos,medico_general
moderado picazón en la cabeza,dermatologo
repentino ardor en el oído,medico_general
fuerte fatiga en la rodilla,medico_general
agudo mareo en la rodilla,neurologo
repentino dolor en el cuello,medico_general
agudo mareo en la espalda,neurologo
agudo náuseas en la cabeza,neurologo
repentino mareo en los ojos,neurologo
agudo fatiga en el cuello,medico_general
moderado dolor en los brazos,medico_general
intermitente inflamación en el cuello,medico_general
leve debilidad en la piel,dermatologo
leve dolor en la garganta,medico_general
repentino picazón en el estómago,dermatologo
repentino sensibilidad en el oído,medico_general
intermitente rigidez en el estómago,gastroenterologo
repentino mareo en la piel,dermatologo
moderado fatiga en la garganta,medico_general
repentino fiebre en los brazos,medico_general
repentino sensibilidad en la rodilla,medico_general
repentino inflamación en la espalda,traumatologo
crónico presión en la cabeza,cardiologo
repentino debilidad en la garganta,medico_general
leve dolor en el oído,medico_general
intermitente debilidad en la piel,dermatologo
intermitente debilidad en el cuello,medico_general
repentino picazón en la piel,dermatologo
fuerte debilidad en las piernas,medico_general
moderado debilidad en el pecho,cardiologo
agudo debilidad en la cabeza,neurologo
intermitente dolor en la piel,dermatologo
fuerte mareo en la garganta,neurologo
fuerte sensibilidad en la cabeza,neurologo
moderado sensibilidad en el oído,medico_general
intermitente fiebre en la rodilla,medico_general
repentino ardor en la garganta,medico_general
agudo sensibilidad en la rodilla,medico_general
intermitente fatiga en las piernas,medico_general
repentino sensibilidad en la rodilla,medico_general
moderado presión en la rodilla,cardiologo
fuerte dolor en la rodilla,medico_general
fuerte debilidad en los ojos,medico_general
fuerte debilidad en el oído,medico_general
fuerte ardor en la piel,dermatologo
repentino dolor en el pecho,cardiologo
moderado rigidez en la espalda,traumatologo
moderado presión en el oído,cardiologo
moderado presión en los ojos,cardiologo
agudo presión en los brazos,cardiologo
crónico inflamación en la garganta,medico_general
repentino fatiga en la piel,dermatologo
intermitente fiebre en la rodilla,medico_general
leve mareo en el estómago,neurologo
fuerte sensibilidad en la garganta,medico_general
agudo sensibilidad en las piernas,medico_general
intermitente sensibilidad en la cabeza,neurologo
fuerte dolor en el cuello,medico_general
crónico debilidad en el estómago,gastroenterologo
leve fiebre en el estómago,gastroenterologo
moderado ardor en la cabeza,neurologo
agudo ardor en la garganta,medico_general
crónico fiebre en el oído,medico_general
crónico fiebre en el cuello,medico_general
fuerte sensibilidad en la garganta,medico_general
fuerte rigidez en los brazos,medico_general
repentino dolor en las piernas,medico_general
moderado fiebre en la rodilla,medico_general
intermitente rigidez en la piel,dermatologo
fuerte sensibilidad en las piernas,medico_general
leve mareo en el oído,neurologo
repentino fatiga en el cuello,medico_general
intermitente sensibilidad en la cabeza,neurologo
moderado rigidez en los brazos,medico_general
leve inflamación en las piernas,medico_general
fuerte mareo en el oído,neurologo
moderado ardor en la piel,dermatologo
agudo debilidad en la garganta,medico_general
fuerte debilidad en la garganta,medico_general
agudo inflamación en los ojos,medico_general
moderado presión en el estómago,cardiologo
agudo mareo en el pecho,cardiologo
crónico rigidez en los ojos,medico_general
agudo mareo en el oído,neurologo
fuerte fatiga en la garganta,medico_general
crónico mareo en el estómago,neurologo
agudo presión en la garganta,cardiologo
crónico presión en las piernas,cardiologo
repentino rigidez en la cabeza,neurologo
crónico fiebre en los ojos,medico_general
leve fiebre en la garganta,medico_general
moderado inflamación en la cabeza,neurologo
intermitente ardor en el cuello,medico_general
fuerte sensibilidad en las piernas,medico_general
moderado presión en las piernas,cardiologo
crónico picazón en el estómago,dermatologo
repentino fatiga en la cabeza,neurologo
intermitente fiebre en la espalda,traumatologo
fuerte presión en los brazos,cardiologo
